sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,virus
10000,107,0.975,0.975,0.35,0.0531,0.048704364223926,0.057495635776074,0.60128401357721,0.646464646464646,0.925233644859813,0.888888888888889,0.881529075804777,EBV
10000,107,0.975,0.975,0.36,0.0556,0.0511080204998171,0.0600919795001829,0.603277733601675,0.646464646464646,0.925233644859813,0.888888888888889,0.8818743509865,EBV
10000,107,0.975,0.975,0.37,0.0519,0.047551563496316,0.056248436503684,0.605283142874891,0.646464646464646,0.925233644859813,0.888888888888889,0.882219626168224,EBV
10000,107,0.975,0.975,0.38,0.0501,0.0458235816206772,0.0543764183793228,0.607300344500804,0.646464646464646,0.925233644859813,0.888888888888889,0.882564901349948,EBV
10000,107,0.975,0.975,0.39,0.0491,0.0448642477481872,0.0533357522518128,0.6093294427995,0.646464646464646,0.925233644859813,0.888888888888889,0.882910176531672,EBV
10000,107,0.975,0.975,0.4,0.0505,0.0462074481055885,0.0547925518944115,0.61137054332518,0.646464646464646,0.925233644859813,0.888888888888889,0.883255451713396,EBV
10000,107,0.975,0.975,0.41,0.0495,0.0452479237810448,0.0537520762189553,0.613423752884465,0.646464646464646,0.925233644859813,0.888888888888889,0.883600726895119,EBV
10000,107,0.975,0.975,0.42,0.047,0.04285124527609,0.05114875472391,0.615489179555035,0.646464646464646,0.925233644859813,0.888888888888889,0.883946002076843,EBV
10000,107,0.975,0.975,0.43,0.0487,0.0444806494413328,0.0529193505586672,0.617566932704578,0.646464646464646,0.925233644859813,0.888888888888889,0.884291277258567,EBV
10000,107,0.975,0.975,0.44,0.0475,0.0433303300707345,0.0516696699292655,0.619657123010109,0.646464646464646,0.925233644859813,0.888888888888889,0.884636552440291,EBV
10000,107,0.975,0.975,0.45,0.045,0.0409362187395099,0.0490637812604901,0.621759862477614,0.646464646464646,0.925233644859813,0.888888888888889,0.884981827622014,EBV
10000,107,0.975,0.975,0.46,0.0462,0.0420849792691922,0.0503150207308078,0.623875264462062,0.646464646464646,0.925233644859813,0.888888888888889,0.885327102803738,EBV
10000,107,0.975,0.975,0.47,0.0463,0.0421807441470074,0.0504192558529926,0.626003443687769,0.646464646464646,0.925233644859813,0.888888888888889,0.885672377985462,EBV
10000,107,0.975,0.975,0.48,0.0408,0.0369220067642148,0.0446779932357852,0.628144516269146,0.646464646464646,0.925233644859813,0.888888888888889,0.886017653167186,EBV
10000,107,0.975,0.975,0.49,0.0467,0.0425638563133404,0.0508361436866596,0.630298599731812,0.646464646464646,0.925233644859813,0.888888888888889,0.886362928348909,EBV
10000,107,0.975,0.975,0.5,0.0424,0.0384499974351393,0.0463500025648607,0.632465813034099,0.646464646464646,0.925233644859813,0.888888888888889,0.886708203530633,EBV
10000,107,0.975,0.975,0.51,0.0393,0.0354909861555824,0.0431090138444176,0.634646276588952,0.646464646464646,0.925233644859813,0.888888888888889,0.887053478712357,EBV
