sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,107,0.975,0.975,1,0.0385,0.0449,1.02722389747456,0.8375,0.373831775700935,0.333333333333334,0.380140186915888,CMV
10000,107,0.975,0.975,0,0.0997,0.123,0.538147431764453,0.646464646464646,0.925233644859813,0.888888888888889,0.869444444444444,EBV
10000,107,0.975,0.975,0.01,0.1013,0.1263,0.539788699846119,0.646464646464646,0.925233644859813,0.888888888888889,0.869789719626168,EBV
10000,107,0.975,0.975,0.02,0.0992,0.1243,0.541438695284849,0.646464646464646,0.925233644859813,0.888888888888889,0.870134994807892,EBV
10000,107,0.975,0.975,0.03,0.0975,0.1227,0.543097487877107,0.646464646464646,0.925233644859813,0.888888888888889,0.870480269989615,EBV
10000,107,0.975,0.975,0.04,0.0906,0.1137,0.544765148165606,0.646464646464646,0.925233644859813,0.888888888888889,0.870825545171339,EBV
10000,107,0.975,0.975,0.05,0.089,0.1142,0.546441747449304,0.646464646464646,0.925233644859813,0.888888888888889,0.871170820353063,EBV
10000,107,0.975,0.975,0.06,0.0883,0.1117,0.548127357793566,0.646464646464646,0.925233644859813,0.888888888888889,0.871516095534787,EBV
10000,107,0.975,0.975,0.07,0.0866,0.1118,0.549822052040492,0.646464646464646,0.925233644859813,0.888888888888889,0.871861370716511,EBV
10000,107,0.975,0.975,0.08,0.0841,0.1085,0.551525903819407,0.646464646464646,0.925233644859813,0.888888888888889,0.872206645898234,EBV
10000,107,0.975,0.975,0.09,0.0838,0.1089,0.553238987557525,0.646464646464646,0.925233644859813,0.888888888888889,0.872551921079958,EBV
10000,107,0.975,0.975,0.1,0.0868,0.1097,0.55496137849079,0.646464646464646,0.925233644859813,0.888888888888889,0.872897196261682,EBV
10000,107,0.975,0.975,0.11,0.0834,0.1078,0.556693152674884,0.646464646464646,0.925233644859813,0.888888888888889,0.873242471443406,EBV
10000,107,0.975,0.975,0.12,0.0799,0.1038,0.558434386996427,0.646464646464646,0.925233644859813,0.888888888888889,0.87358774662513,EBV
10000,107,0.975,0.975,0.13,0.0807,0.1052,0.560185159184355,0.646464646464646,0.925233644859813,0.888888888888889,0.873933021806853,EBV
10000,107,0.975,0.975,0.14,0.0757,0.0996,0.561945547821487,0.646464646464646,0.925233644859813,0.888888888888889,0.874278296988577,EBV
10000,107,0.975,0.975,0.15,0.0822,0.1068,0.563715632356279,0.646464646464646,0.925233644859813,0.888888888888889,0.874623572170301,EBV
10000,107,0.975,0.975,0.16,0.0797,0.099,0.565495493114777,0.646464646464646,0.925233644859813,0.888888888888889,0.874968847352025,EBV
10000,107,0.975,0.975,0.17,0.072,0.0941,0.567285211312777,0.646464646464646,0.925233644859813,0.888888888888889,0.875314122533748,EBV
10000,107,0.975,0.975,0.18,0.0709,0.0934,0.569084869068166,0.646464646464646,0.925233644859813,0.888888888888889,0.875659397715472,EBV
10000,107,0.975,0.975,0.19,0.0706,0.0925,0.570894549413487,0.646464646464646,0.925233644859813,0.888888888888889,0.876004672897196,EBV
10000,107,0.975,0.975,0.2,0.076,0.0988,0.57271433630871,0.646464646464646,0.925233644859813,0.888888888888889,0.87634994807892,EBV
10000,107,0.975,0.975,0.21,0.0704,0.0931,0.574544314654216,0.646464646464646,0.925233644859813,0.888888888888889,0.876695223260644,EBV
10000,107,0.975,0.975,0.22,0.0687,0.0913,0.576384570304002,0.646464646464646,0.925233644859813,0.888888888888889,0.877040498442367,EBV
10000,107,0.975,0.975,0.23,0.0665,0.0868,0.578235190079106,0.646464646464646,0.925233644859813,0.888888888888889,0.877385773624091,EBV
10000,107,0.975,0.975,0.24,0.0654,0.0869,0.580096261781259,0.646464646464646,0.925233644859813,0.888888888888889,0.877731048805815,EBV
10000,107,0.975,0.975,0.25,0.0655,0.087,0.581967874206776,0.646464646464646,0.925233644859813,0.888888888888889,0.878076323987539,EBV
10000,107,0.975,0.975,0.26,0.0649,0.0849,0.583850117160674,0.646464646464646,0.925233644859813,0.888888888888889,0.878421599169263,EBV
10000,107,0.975,0.975,0.27,0.0626,0.0818,0.585743081471041,0.646464646464646,0.925233644859813,0.888888888888889,0.878766874350986,EBV
10000,107,0.975,0.975,0.28,0.0636,0.0858,0.587646859003643,0.646464646464646,0.925233644859813,0.888888888888889,0.87911214953271,EBV
10000,107,0.975,0.975,0.29,0.062,0.0819,0.589561542676783,0.646464646464646,0.925233644859813,0.888888888888889,0.879457424714434,EBV
10000,107,0.975,0.975,0.3,0.0565,0.0744,0.591487226476427,0.646464646464646,0.925233644859813,0.888888888888889,0.879802699896158,EBV
10000,107,0.975,0.975,0.31,0.0599,0.0825,0.593424005471571,0.646464646464646,0.925233644859813,0.888888888888889,0.880147975077881,EBV
10000,107,0.975,0.975,0.32,0.0626,0.0837,0.595371975829898,0.646464646464646,0.925233644859813,0.888888888888889,0.880493250259605,EBV
10000,107,0.975,0.975,0.33,0.0559,0.0753,0.597331234833685,0.646464646464646,0.925233644859813,0.888888888888889,0.880838525441329,EBV
10000,107,0.975,0.975,0.34,0.0566,0.0756,0.599301880896008,0.646464646464646,0.925233644859813,0.888888888888889,0.881183800623053,EBV
10000,107,0.975,0.975,0.35,0.0552,0.0754,0.60128401357721,0.646464646464646,0.925233644859813,0.888888888888889,0.881529075804777,EBV
10000,107,0.975,0.975,0.36,0.0516,0.0715,0.603277733601675,0.646464646464646,0.925233644859813,0.888888888888889,0.8818743509865,EBV
10000,107,0.975,0.975,0.37,0.0531,0.0714,0.605283142874891,0.646464646464646,0.925233644859813,0.888888888888889,0.882219626168224,EBV
10000,107,0.975,0.975,0.38,0.0474,0.0638,0.607300344500804,0.646464646464646,0.925233644859813,0.888888888888889,0.882564901349948,EBV
10000,107,0.975,0.975,0.39,0.0541,0.0713,0.6093294427995,0.646464646464646,0.925233644859813,0.888888888888889,0.882910176531672,EBV
10000,107,0.975,0.975,0.4,0.0503,0.0703,0.61137054332518,0.646464646464646,0.925233644859813,0.888888888888889,0.883255451713396,EBV
10000,107,0.975,0.975,0.41,0.0516,0.0682,0.613423752884465,0.646464646464646,0.925233644859813,0.888888888888889,0.883600726895119,EBV
10000,107,0.975,0.975,0.42,0.0494,0.0667,0.615489179555035,0.646464646464646,0.925233644859813,0.888888888888889,0.883946002076843,EBV
10000,107,0.975,0.975,0.43,0.0439,0.0624,0.617566932704578,0.646464646464646,0.925233644859813,0.888888888888889,0.884291277258567,EBV
10000,107,0.975,0.975,0.44,0.0479,0.0661,0.619657123010109,0.646464646464646,0.925233644859813,0.888888888888889,0.884636552440291,EBV
10000,107,0.975,0.975,0.45,0.0466,0.0642,0.621759862477614,0.646464646464646,0.925233644859813,0.888888888888889,0.884981827622014,EBV
10000,107,0.975,0.975,0.46,0.045,0.0627,0.623875264462062,0.646464646464646,0.925233644859813,0.888888888888889,0.885327102803738,EBV
10000,107,0.975,0.975,0.47,0.0432,0.0595,0.626003443687769,0.646464646464646,0.925233644859813,0.888888888888889,0.885672377985462,EBV
10000,107,0.975,0.975,0.48,0.0448,0.0639,0.628144516269146,0.646464646464646,0.925233644859813,0.888888888888889,0.886017653167186,EBV
10000,107,0.975,0.975,0.49,0.0433,0.0601,0.630298599731812,0.646464646464646,0.925233644859813,0.888888888888889,0.886362928348909,EBV
10000,107,0.975,0.975,0.5,0.0423,0.0603,0.632465813034099,0.646464646464646,0.925233644859813,0.888888888888889,0.886708203530633,EBV
10000,107,0.975,0.975,0.51,0.0436,0.062,0.634646276588952,0.646464646464646,0.925233644859813,0.888888888888889,0.887053478712357,EBV
10000,107,0.975,0.975,0.52,0.0402,0.0554,0.636840112286232,0.646464646464646,0.925233644859813,0.888888888888889,0.887398753894081,EBV
10000,107,0.975,0.975,0.53,0.039,0.0565,0.639047443515425,0.646464646464646,0.925233644859813,0.888888888888889,0.887744029075805,EBV
10000,107,0.975,0.975,0.54,0.0409,0.0563,0.641268395188781,0.646464646464646,0.925233644859813,0.888888888888889,0.888089304257528,EBV
10000,107,0.975,0.975,0.55,0.0369,0.0524,0.643503093764873,0.646464646464646,0.925233644859813,0.888888888888889,0.888434579439252,EBV
10000,107,0.975,0.975,0.56,0.0371,0.0536,0.645751667272605,0.646464646464646,0.925233644859813,0.888888888888889,0.888779854620976,EBV
10000,107,0.975,0.975,0.57,0.0385,0.0561,0.648014245335654,0.646464646464646,0.925233644859813,0.888888888888889,0.8891251298027,EBV
10000,107,0.975,0.975,0.58,0.0366,0.0514,0.650290959197386,0.646464646464646,0.925233644859813,0.888888888888889,0.889470404984424,EBV
10000,107,0.975,0.975,0.59,0.0376,0.0519,0.652581941746231,0.646464646464646,0.925233644859813,0.888888888888889,0.889815680166147,EBV
10000,107,0.975,0.975,0.6,0.0366,0.0516,0.654887327541546,0.646464646464646,0.925233644859813,0.888888888888889,0.890160955347871,EBV
10000,107,0.975,0.975,0.61,0.0391,0.0561,0.657207252839944,0.646464646464646,0.925233644859813,0.888888888888889,0.890506230529595,EBV
10000,107,0.975,0.975,0.62,0.0348,0.0508,0.659541855622153,0.646464646464646,0.925233644859813,0.888888888888889,0.890851505711319,EBV
10000,107,0.975,0.975,0.63,0.0352,0.0503,0.661891275620368,0.646464646464646,0.925233644859813,0.888888888888889,0.891196780893042,EBV
10000,107,0.975,0.975,0.64,0.0358,0.0514,0.664255654346132,0.646464646464646,0.925233644859813,0.888888888888889,0.891542056074766,EBV
10000,107,0.975,0.975,0.65,0.0355,0.0537,0.666635135118747,0.646464646464646,0.925233644859813,0.888888888888889,0.89188733125649,EBV
10000,107,0.975,0.975,0.66,0.0368,0.0495,0.669029863094229,0.646464646464646,0.925233644859813,0.888888888888889,0.892232606438214,EBV
10000,107,0.975,0.975,0.67,0.0387,0.0536,0.671439985294839,0.646464646464646,0.925233644859813,0.888888888888889,0.892577881619938,EBV
10000,107,0.975,0.975,0.68,0.0346,0.0481,0.673865650639156,0.646464646464646,0.925233644859813,0.888888888888889,0.892923156801661,EBV
10000,107,0.975,0.975,0.69,0.0307,0.0462,0.676307009972761,0.646464646464646,0.925233644859813,0.888888888888889,0.893268431983385,EBV
10000,107,0.975,0.975,0.7,0.0337,0.0482,0.678764216099501,0.646464646464646,0.925233644859813,0.888888888888889,0.893613707165109,EBV
10000,107,0.975,0.975,0.71,0.0328,0.046,0.681237423813376,0.646464646464646,0.925233644859813,0.888888888888889,0.893958982346832,EBV
10000,107,0.975,0.975,0.72,0.0332,0.0478,0.683726789931043,0.646464646464646,0.925233644859813,0.888888888888889,0.894304257528556,EBV
10000,107,0.975,0.975,0.73,0.0321,0.0448,0.686232473324955,0.646464646464646,0.925233644859813,0.888888888888889,0.89464953271028,EBV
10000,107,0.975,0.975,0.74,0.0294,0.0445,0.688754634957166,0.646464646464646,0.925233644859813,0.888888888888889,0.894994807892004,EBV
10000,107,0.975,0.975,0.75,0.031,0.0448,0.691293437913802,0.646464646464646,0.925233644859813,0.888888888888889,0.895340083073728,EBV
10000,107,0.975,0.975,0.76,0.0314,0.0446,0.693849047440208,0.646464646464646,0.925233644859813,0.888888888888889,0.895685358255452,EBV
10000,107,0.975,0.975,0.77,0.03,0.0462,0.6964216309768,0.646464646464646,0.925233644859813,0.888888888888889,0.896030633437175,EBV
10000,107,0.975,0.975,0.78,0.0301,0.045,0.699011358195645,0.646464646464646,0.925233644859813,0.888888888888889,0.896375908618899,EBV
10000,107,0.975,0.975,0.79,0.0312,0.0435,0.701618401037751,0.646464646464646,0.925233644859813,0.888888888888889,0.896721183800623,EBV
10000,107,0.975,0.975,0.8,0.0305,0.0422,0.70424293375113,0.646464646464646,0.925233644859813,0.888888888888889,0.897066458982347,EBV
10000,107,0.975,0.975,0.81,0.0294,0.0428,0.70688513292962,0.646464646464646,0.925233644859813,0.888888888888889,0.897411734164071,EBV
10000,107,0.975,0.975,0.82,0.0294,0.0408,0.70954517755249,0.646464646464646,0.925233644859813,0.888888888888889,0.897757009345794,EBV
10000,107,0.975,0.975,0.83,0.0308,0.0449,0.712223249024859,0.646464646464646,0.925233644859813,0.888888888888889,0.898102284527518,EBV
10000,107,0.975,0.975,0.84,0.0294,0.0426,0.714919531218933,0.646464646464646,0.925233644859813,0.888888888888889,0.898447559709242,EBV
10000,107,0.975,0.975,0.85,0.0304,0.0421,0.717634210516088,0.646464646464646,0.925233644859813,0.888888888888889,0.898792834890966,EBV
10000,107,0.975,0.975,0.86,0.0316,0.0461,0.720367475849819,0.646464646464646,0.925233644859813,0.888888888888889,0.899138110072689,EBV
10000,107,0.975,0.975,0.87,0.0289,0.041,0.723119518749572,0.646464646464646,0.925233644859813,0.888888888888889,0.899483385254413,EBV
10000,107,0.975,0.975,0.88,0.0276,0.0397,0.72589053338548,0.646464646464646,0.925233644859813,0.888888888888889,0.899828660436137,EBV
10000,107,0.975,0.975,0.89,0.0264,0.0398,0.728680716614037,0.646464646464646,0.925233644859813,0.888888888888889,0.900173935617861,EBV
10000,107,0.975,0.975,0.9,0.0287,0.0399,0.731490268024715,0.646464646464646,0.925233644859813,0.888888888888889,0.900519210799585,EBV
10000,107,0.975,0.975,0.91,0.0314,0.0432,0.734319389987549,0.646464646464646,0.925233644859813,0.888888888888889,0.900864485981308,EBV
10000,107,0.975,0.975,0.92,0.0242,0.0366,0.73716828770174,0.646464646464646,0.925233644859813,0.888888888888889,0.901209761163032,EBV
10000,107,0.975,0.975,0.93,0.0299,0.043,0.740037169245261,0.646464646464646,0.925233644859813,0.888888888888889,0.901555036344756,EBV
10000,107,0.975,0.975,0.94,0.0278,0.0384,0.742926245625515,0.646464646464646,0.925233644859813,0.888888888888889,0.901900311526479,EBV
10000,107,0.975,0.975,0.95,0.0303,0.0414,0.745835730831083,0.646464646464646,0.925233644859813,0.888888888888889,0.902245586708203,EBV
10000,107,0.975,0.975,0.96,0.0271,0.0407,0.748765841884545,0.646464646464646,0.925233644859813,0.888888888888889,0.902590861889927,EBV
10000,107,0.975,0.975,0.97,0.0312,0.042,0.751716798896451,0.646464646464646,0.925233644859813,0.888888888888889,0.902936137071651,EBV
