sim,n_control,n_cfs,p0,or_t,se,sp,gamma
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.32
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.33
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.34
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.35
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.36
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.37
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.38
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.39
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.4
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.41
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.42
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.43
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.44
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.45
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.46
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.47
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.48
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.49
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.5
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.51
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.52
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.53
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.54
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.55
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.56
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.57
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.58
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.59
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.6
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.61
10000,107,251,0.925233644859813,0.646464646464646,0.975,0.975,0.62
