sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.48,0.1763,0.168829785544168,0.183770214455832,1.31914787610449,1.62895622895623,0.082089552238806,0.127155172413793,0.105523674729799,PTPN22
10000,402,1,1,0.49,0.1784,0.170895011675531,0.185904988324469,1.31285279505486,1.62895622895623,0.082089552238806,0.127155172413793,0.105073018528049,PTPN22
10000,402,1,1,0.5,0.1615,0.15428626511334,0.16871373488666,1.3065640508115,1.62895622895623,0.082089552238806,0.127155172413793,0.1046223623263,PTPN22
10000,402,1,1,0.51,0.1639,0.156643269925186,0.171156730074814,1.30028163381102,1.62895622895623,0.082089552238806,0.127155172413793,0.10417170612455,PTPN22
10000,402,1,1,0.52,0.1614,0.15418806880252,0.16861193119748,1.29400553450925,1.62895622895623,0.082089552238806,0.127155172413793,0.1037210499228,PTPN22
10000,402,1,1,0.53,0.1502,0.143196490689455,0.157203509310545,1.2877357433812,1.62895622895623,0.082089552238806,0.127155172413793,0.10327039372105,PTPN22
10000,402,1,1,0.54,0.1436,0.136725550437791,0.150474449562209,1.28147225092105,1.62895622895623,0.082089552238806,0.127155172413793,0.1028197375193,PTPN22
10000,402,1,1,0.55,0.1369,0.130161632965892,0.143638367034108,1.27521504764204,1.62895622895623,0.082089552238806,0.127155172413793,0.10236908131755,PTPN22
10000,402,1,1,0.56,0.1408,0.133981782638509,0.147618217361491,1.26896412407645,1.62895622895623,0.082089552238806,0.127155172413793,0.1019184251158,PTPN22
10000,402,1,1,0.57,0.1271,0.120570537940896,0.133629462059104,1.26271947077558,1.62895622895623,0.082089552238806,0.127155172413793,0.10146776891405,PTPN22
10000,402,1,1,0.58,0.1319,0.125266699737054,0.138533300262946,1.25648107830966,1.62895622895623,0.082089552238806,0.127155172413793,0.101017112712301,PTPN22
10000,402,1,1,0.59,0.1272,0.120668343981687,0.133731656018313,1.25024893726781,1.62895622895623,0.082089552238806,0.127155172413793,0.100566456510551,PTPN22
10000,402,1,1,0.6,0.1273,0.120766151347307,0.133833848652693,1.24402303825801,1.62895622895623,0.082089552238806,0.127155172413793,0.100115800308801,PTPN22
10000,402,1,1,0.61,0.1199,0.113532074370366,0.126267925629634,1.23780337190706,1.62895622895623,0.082089552238806,0.127155172413793,0.099665144107051,PTPN22
10000,402,1,1,0.62,0.107,0.100940455224695,0.113059544775305,1.2315899288605,1.62895622895623,0.082089552238806,0.127155172413793,0.0992144879053011,PTPN22
10000,402,1,1,0.63,0.107,0.100940455224695,0.113059544775305,1.22538269978257,1.62895622895623,0.082089552238806,0.127155172413793,0.0987638317035513,PTPN22
10000,402,1,1,0.64,0.1043,0.0983083584754599,0.11029164152454,1.2191816753562,1.62895622895623,0.082089552238806,0.127155172413793,0.0983131755018014,PTPN22
10000,402,1,1,0.65,0.0975,0.0916850190839927,0.103314980916007,1.21298684628292,1.62895622895623,0.082089552238806,0.127155172413793,0.0978625193000515,PTPN22
10000,402,1,1,0.66,0.0918,0.0861397649017319,0.0974602350982681,1.20679820328284,1.62895622895623,0.082089552238806,0.127155172413793,0.0974118630983016,PTPN22
10000,402,1,1,0.67,0.0966,0.0908090343753919,0.102390965624608,1.20061573709458,1.62895622895623,0.082089552238806,0.127155172413793,0.0969612068965518,PTPN22
10000,402,1,1,0.68,0.0888,0.0832238336787599,0.0943761663212401,1.19443943847526,1.62895622895623,0.082089552238806,0.127155172413793,0.0965105506948019,PTPN22
10000,402,1,1,0.69,0.0872,0.0816694485253228,0.0927305514746772,1.18826929820041,1.62895622895623,0.082089552238806,0.127155172413793,0.096059894493052,PTPN22
10000,402,1,1,0.7,0.0808,0.0754576409983427,0.0861423590016574,1.18210530706396,1.62895622895623,0.082089552238806,0.127155172413793,0.0956092382913022,PTPN22
10000,402,1,1,0.71,0.0814,0.0760395925314033,0.0867604074685967,1.17594745587818,1.62895622895623,0.082089552238806,0.127155172413793,0.0951585820895523,PTPN22
10000,402,1,1,0.72,0.0804,0.0750697216795187,0.0857302783204813,1.16979573547362,1.62895622895623,0.082089552238806,0.127155172413793,0.0947079258878024,PTPN22
10000,402,1,1,0.73,0.072,0.0669328633441509,0.0770671366558491,1.1636501366991,1.62895622895623,0.082089552238806,0.127155172413793,0.0942572696860526,PTPN22
10000,402,1,1,0.74,0.0748,0.0696430729060366,0.0799569270939634,1.15751065042163,1.62895622895623,0.082089552238806,0.127155172413793,0.0938066134843027,PTPN22
10000,402,1,1,0.75,0.0703,0.065288457027906,0.075311542972094,1.15137726752639,1.62895622895623,0.082089552238806,0.127155172413793,0.0933559572825528,PTPN22
10000,402,1,1,0.76,0.0651,0.0602638979704119,0.0699361020295881,1.14524997891665,1.62895622895623,0.082089552238806,0.127155172413793,0.0929053010808029,PTPN22
10000,402,1,1,0.77,0.0631,0.0583336746971053,0.0678663253028947,1.13912877551378,1.62895622895623,0.082089552238806,0.127155172413793,0.0924546448790531,PTPN22
10000,402,1,1,0.78,0.0627,0.057947791797778,0.067452208202222,1.13301364825714,1.62895622895623,0.082089552238806,0.127155172413793,0.0920039886773032,PTPN22
10000,402,1,1,0.79,0.0567,0.0521664456425803,0.0612335543574197,1.12690458810411,1.62895622895623,0.082089552238806,0.127155172413793,0.0915533324755533,PTPN22
10000,402,1,1,0.8,0.0582,0.0536105228070036,0.0627894771929964,1.12080158602996,1.62895622895623,0.082089552238806,0.127155172413793,0.0911026762738035,PTPN22
10000,402,1,1,0.81,0.0554,0.0509156321157491,0.0598843678842509,1.11470463302789,1.62895622895623,0.082089552238806,0.127155172413793,0.0906520200720536,PTPN22
