sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,402,1,1,0.43,0.2495,0.241017321564833,0.257982678435167,1.35071866951821,1.62895622895623,0.082089552238806,0.127155172413793,0.107776955738549,PTPN22
10000,402,1,1,0.44,0.2478,0.239336700768999,0.256263299231001,1.34439176030964,1.62895622895623,0.082089552238806,0.127155172413793,0.107326299536799,PTPN22
10000,402,1,1,0.45,0.2305,0.222244143082485,0.238755856917515,1.33807123601454,1.62895622895623,0.082089552238806,0.127155172413793,0.106875643335049,PTPN22
10000,402,1,1,0.46,0.2287,0.220466829133247,0.236933170866753,1.33175708697263,1.62895622895623,0.082089552238806,0.127155172413793,0.106424987133299,PTPN22
10000,402,1,1,0.47,0.2227,0.214544007401229,0.230855992598771,1.32544930354308,1.62895622895623,0.082089552238806,0.127155172413793,0.105974330931549,PTPN22
10000,402,1,1,0.48,0.2101,0.202114144202911,0.218085855797089,1.31914787610449,1.62895622895623,0.082089552238806,0.127155172413793,0.105523674729799,PTPN22
10000,402,1,1,0.49,0.2055,0.197579086976236,0.213420913023764,1.31285279505486,1.62895622895623,0.082089552238806,0.127155172413793,0.105073018528049,PTPN22
10000,402,1,1,0.5,0.2018,0.193932462469462,0.209667537530538,1.3065640508115,1.62895622895623,0.082089552238806,0.127155172413793,0.1046223623263,PTPN22
10000,402,1,1,0.51,0.1989,0.191075021768196,0.206724978231804,1.30028163381102,1.62895622895623,0.082089552238806,0.127155172413793,0.10417170612455,PTPN22
10000,402,1,1,0.52,0.1913,0.183589658973741,0.199010341026259,1.29400553450925,1.62895622895623,0.082089552238806,0.127155172413793,0.1037210499228,PTPN22
10000,402,1,1,0.53,0.1854,0.177781851248562,0.193018148751438,1.2877357433812,1.62895622895623,0.082089552238806,0.127155172413793,0.10327039372105,PTPN22
10000,402,1,1,0.54,0.1809,0.173354115959071,0.188445884040929,1.28147225092105,1.62895622895623,0.082089552238806,0.127155172413793,0.1028197375193,PTPN22
10000,402,1,1,0.55,0.1769,0.169419810539751,0.184380189460249,1.27521504764204,1.62895622895623,0.082089552238806,0.127155172413793,0.10236908131755,PTPN22
10000,402,1,1,0.56,0.1712,0.16381587343413,0.17858412656587,1.26896412407645,1.62895622895623,0.082089552238806,0.127155172413793,0.1019184251158,PTPN22
10000,402,1,1,0.57,0.1666,0.159295565026021,0.173904434973979,1.26271947077558,1.62895622895623,0.082089552238806,0.127155172413793,0.10146776891405,PTPN22
10000,402,1,1,0.58,0.1669,0.159590307356623,0.174209692643377,1.25648107830966,1.62895622895623,0.082089552238806,0.127155172413793,0.101017112712301,PTPN22
10000,402,1,1,0.59,0.1477,0.140744812016599,0.154655187983402,1.25024893726781,1.62895622895623,0.082089552238806,0.127155172413793,0.100566456510551,PTPN22
10000,402,1,1,0.6,0.1525,0.145452628660461,0.159547371339539,1.24402303825801,1.62895622895623,0.082089552238806,0.127155172413793,0.100115800308801,PTPN22
10000,402,1,1,0.61,0.1435,0.136627543259307,0.150372456740693,1.23780337190706,1.62895622895623,0.082089552238806,0.127155172413793,0.099665144107051,PTPN22
10000,402,1,1,0.62,0.1358,0.129084483869699,0.142515516130301,1.2315899288605,1.62895622895623,0.082089552238806,0.127155172413793,0.0992144879053011,PTPN22
10000,402,1,1,0.63,0.1342,0.127517985260548,0.140882014739452,1.22538269978257,1.62895622895623,0.082089552238806,0.127155172413793,0.0987638317035513,PTPN22
10000,402,1,1,0.64,0.1301,0.123505290121844,0.136694709878156,1.2191816753562,1.62895622895623,0.082089552238806,0.127155172413793,0.0983131755018014,PTPN22
10000,402,1,1,0.65,0.122,0.115584218662384,0.128415781337616,1.21298684628292,1.62895622895623,0.082089552238806,0.127155172413793,0.0978625193000515,PTPN22
10000,402,1,1,0.66,0.1235,0.117050414273996,0.129949585726004,1.20679820328284,1.62895622895623,0.082089552238806,0.127155172413793,0.0974118630983016,PTPN22
10000,402,1,1,0.67,0.1206,0.114216053112257,0.126983946887743,1.20061573709458,1.62895622895623,0.082089552238806,0.127155172413793,0.0969612068965518,PTPN22
10000,402,1,1,0.68,0.1133,0.107086651837756,0.119513348162244,1.19443943847526,1.62895622895623,0.082089552238806,0.127155172413793,0.0965105506948019,PTPN22
10000,402,1,1,0.69,0.1087,0.102598324518056,0.114801675481944,1.18826929820041,1.62895622895623,0.082089552238806,0.127155172413793,0.096059894493052,PTPN22
10000,402,1,1,0.7,0.1009,0.0949956517843235,0.106804348215677,1.18210530706396,1.62895622895623,0.082089552238806,0.127155172413793,0.0956092382913022,PTPN22
10000,402,1,1,0.71,0.0974,0.0915876799050705,0.10321232009493,1.17594745587818,1.62895622895623,0.082089552238806,0.127155172413793,0.0951585820895523,PTPN22
10000,402,1,1,0.72,0.0982,0.0923664457633899,0.10403355423661,1.16979573547362,1.62895622895623,0.082089552238806,0.127155172413793,0.0947079258878024,PTPN22
10000,402,1,1,0.73,0.0938,0.0880847421512162,0.0995152578487837,1.1636501366991,1.62895622895623,0.082089552238806,0.127155172413793,0.0942572696860526,PTPN22
10000,402,1,1,0.74,0.0909,0.0852647894010823,0.0965352105989177,1.15751065042163,1.62895622895623,0.082089552238806,0.127155172413793,0.0938066134843027,PTPN22
10000,402,1,1,0.75,0.0882,0.0826408746463136,0.0937591253536864,1.15137726752639,1.62895622895623,0.082089552238806,0.127155172413793,0.0933559572825528,PTPN22
10000,402,1,1,0.76,0.0842,0.0787564934982778,0.0896435065017222,1.14524997891665,1.62895622895623,0.082089552238806,0.127155172413793,0.0929053010808029,PTPN22
10000,402,1,1,0.77,0.0825,0.0771067271597002,0.0878932728402998,1.13912877551378,1.62895622895623,0.082089552238806,0.127155172413793,0.0924546448790531,PTPN22
10000,402,1,1,0.78,0.0864,0.0808924645995195,0.0919075354004805,1.13301364825714,1.62895622895623,0.082089552238806,0.127155172413793,0.0920039886773032,PTPN22
10000,402,1,1,0.79,0.0795,0.0741970462259672,0.0848029537740328,1.12690458810411,1.62895622895623,0.082089552238806,0.127155172413793,0.0915533324755533,PTPN22
10000,402,1,1,0.8,0.0752,0.0700304205834831,0.0803695794165169,1.12080158602996,1.62895622895623,0.082089552238806,0.127155172413793,0.0911026762738035,PTPN22
10000,402,1,1,0.81,0.0689,0.0639348753622208,0.0738651246377792,1.11470463302789,1.62895622895623,0.082089552238806,0.127155172413793,0.0906520200720536,PTPN22
10000,402,1,1,0.82,0.0679,0.0629683923027161,0.0728316076972839,1.10861372010891,1.62895622895623,0.082089552238806,0.127155172413793,0.0902013638703037,PTPN22
10000,402,1,1,0.83,0.0656,0.0607466600180062,0.0704533399819939,1.10252883830186,1.62895622895623,0.082089552238806,0.127155172413793,0.0897507076685538,PTPN22
10000,402,1,1,0.84,0.0682,0.0632583051859933,0.0731416948140067,1.09644997865333,1.62895622895623,0.082089552238806,0.127155172413793,0.089300051466804,PTPN22
