sim,sample_size,sensitivity,specificity,misrate,p_chisq,p_fisher,overall_or,or_t,theta0,theta1_true,theta1
10000,100,1,1,0.13,0.3598,0.3789,2.71767028627838,3,0.05,0.136363636363636,0.125136363636364
10000,100,1,1,0.14,0.355,0.3749,2.69625246548324,3,0.05,0.136363636363636,0.124272727272727
10000,100,1,1,0.15,0.3427,0.361,2.67487684729064,3,0.05,0.136363636363636,0.123409090909091
10000,100,1,1,0.16,0.3424,0.3633,2.65354330708661,3,0.05,0.136363636363636,0.122545454545455
10000,100,1,1,0.17,0.3351,0.3576,2.6322517207473,3,0.05,0.136363636363636,0.121681818181818
10000,100,1,1,0.18,0.3217,0.3426,2.61100196463654,3,0.05,0.136363636363636,0.120818181818182
10000,100,1,1,0.19,0.316,0.3371,2.58979391560353,3,0.05,0.136363636363636,0.119954545454545
10000,100,1,1,0.2,0.3097,0.3309,2.56862745098039,3,0.05,0.136363636363636,0.119090909090909
10000,100,1,1,0.21,0.2991,0.321,2.54750244857982,3,0.05,0.136363636363636,0.118227272727273
10000,100,1,1,0.22,0.2997,0.3188,2.52641878669276,3,0.05,0.136363636363636,0.117363636363636
10000,100,1,1,0.23,0.2882,0.3092,2.50537634408602,3,0.05,0.136363636363636,0.1165
10000,100,1,1,0.24,0.2853,0.3061,2.484375,3,0.05,0.136363636363636,0.115636363636364
10000,100,1,1,0.25,0.2663,0.2863,2.46341463414634,3,0.05,0.136363636363636,0.114772727272727
10000,100,1,1,0.26,0.2715,0.2923,2.44249512670565,3,0.05,0.136363636363636,0.113909090909091
10000,100,1,1,0.27,0.2696,0.2891,2.42161635832522,3,0.05,0.136363636363636,0.113045454545455
10000,100,1,1,0.28,0.2567,0.2777,2.40077821011673,3,0.05,0.136363636363636,0.112181818181818
10000,100,1,1,0.29,0.2431,0.2622,2.37998056365403,3,0.05,0.136363636363636,0.111318181818182
10000,100,1,1,0.3,0.234,0.2545,2.35922330097087,3,0.05,0.136363636363636,0.110454545454545
10000,100,1,1,0.31,0.2381,0.2602,2.33850630455868,3,0.05,0.136363636363636,0.109590909090909
10000,100,1,1,0.32,0.2296,0.2495,2.31782945736434,3,0.05,0.136363636363636,0.108727272727273
10000,100,1,1,0.33,0.2207,0.2389,2.297192642788,3,0.05,0.136363636363636,0.107863636363636
10000,100,1,1,0.34,0.2118,0.231,2.27659574468085,3,0.05,0.136363636363636,0.107
10000,100,1,1,0.35,0.2108,0.2314,2.256038647343,3,0.05,0.136363636363636,0.106136363636364
10000,100,1,1,0.36,0.207,0.2281,2.23552123552124,3,0.05,0.136363636363636,0.105272727272727
10000,100,1,1,0.37,0.2053,0.2242,2.21504339440694,3,0.05,0.136363636363636,0.104409090909091
10000,100,1,1,0.38,0.1939,0.2109,2.19460500963391,3,0.05,0.136363636363636,0.103545454545455
10000,100,1,1,0.39,0.1893,0.2099,2.17420596727623,3,0.05,0.136363636363636,0.102681818181818
10000,100,1,1,0.4,0.1869,0.2071,2.15384615384615,3,0.05,0.136363636363636,0.101818181818182
10000,100,1,1,0.41,0.1807,0.1971,2.13352545629203,3,0.05,0.136363636363636,0.100954545454545
10000,100,1,1,0.42,0.1724,0.1892,2.11324376199616,3,0.05,0.136363636363636,0.100090909090909
10000,100,1,1,0.43,0.1672,0.1834,2.09300095877277,3,0.05,0.136363636363636,0.0992272727272728
10000,100,1,1,0.44,0.1627,0.1805,2.0727969348659,3,0.05,0.136363636363636,0.0983636363636364
10000,100,1,1,0.45,0.1469,0.1631,2.05263157894737,3,0.05,0.136363636363636,0.0975
10000,100,1,1,0.46,0.1458,0.1624,2.03250478011472,3,0.05,0.136363636363636,0.0966363636363637
10000,100,1,1,0.47,0.1451,0.1633,2.01241642788921,3,0.05,0.136363636363636,0.0957727272727273
10000,100,1,1,0.48,0.1444,0.16,1.99236641221374,3,0.05,0.136363636363636,0.0949090909090909
10000,100,1,1,0.49,0.1395,0.1569,1.97235462345091,3,0.05,0.136363636363636,0.0940454545454545
10000,100,1,1,0.5,0.1393,0.1555,1.95238095238095,3,0.05,0.136363636363636,0.0931818181818182
10000,100,1,1,0.51,0.1264,0.1386,1.93244529019981,3,0.05,0.136363636363636,0.0923181818181818
10000,100,1,1,0.52,0.1213,0.1346,1.91254752851711,3,0.05,0.136363636363636,0.0914545454545454
10000,100,1,1,0.53,0.1189,0.1344,1.89268755935423,3,0.05,0.136363636363636,0.0905909090909091
10000,100,1,1,0.54,0.1198,0.1356,1.87286527514232,3,0.05,0.136363636363636,0.0897272727272727
10000,100,1,1,0.55,0.1114,0.1265,1.85308056872038,3,0.05,0.136363636363636,0.0888636363636364
10000,100,1,1,0.56,0.108,0.1235,1.83333333333333,3,0.05,0.136363636363636,0.088
10000,100,1,1,0.57,0.1012,0.1138,1.81362346263009,3,0.05,0.136363636363636,0.0871363636363636
10000,100,1,1,0.58,0.1046,0.1174,1.79395085066163,3,0.05,0.136363636363636,0.0862727272727273
10000,100,1,1,0.59,0.0894,0.1003,1.77431539187913,3,0.05,0.136363636363636,0.0854090909090909
10000,100,1,1,0.6,0.0896,0.1019,1.75471698113208,3,0.05,0.136363636363636,0.0845454545454546
10000,100,1,1,0.61,0.0906,0.1026,1.73515551366635,3,0.05,0.136363636363636,0.0836818181818182
10000,100,1,1,0.62,0.0836,0.0943,1.71563088512241,3,0.05,0.136363636363636,0.0828181818181818
10000,100,1,1,0.63,0.0831,0.0953,1.6961429915334,3,0.05,0.136363636363636,0.0819545454545455
10000,100,1,1,0.64,0.0827,0.0941,1.67669172932331,3,0.05,0.136363636363636,0.0810909090909091
10000,100,1,1,0.65,0.073,0.0847,1.65727699530516,3,0.05,0.136363636363636,0.0802272727272727
10000,100,1,1,0.66,0.0733,0.0833,1.63789868667917,3,0.05,0.136363636363636,0.0793636363636364
10000,100,1,1,0.67,0.0663,0.0754,1.61855670103093,3,0.05,0.136363636363636,0.0785
10000,100,1,1,0.68,0.0623,0.0732,1.59925093632959,3,0.05,0.136363636363636,0.0776363636363637
10000,100,1,1,0.69,0.063,0.0729,1.5799812909261,3,0.05,0.136363636363636,0.0767727272727273
10000,100,1,1,0.7,0.0598,0.0689,1.5607476635514,3,0.05,0.136363636363636,0.0759090909090909
10000,100,1,1,0.71,0.0533,0.0629,1.54154995331466,3,0.05,0.136363636363636,0.0750454545454546
10000,100,1,1,0.72,0.0577,0.0664,1.52238805970149,3,0.05,0.136363636363636,0.0741818181818182
10000,100,1,1,0.73,0.0482,0.0572,1.50326188257223,3,0.05,0.136363636363636,0.0733181818181818
10000,100,1,1,0.74,0.0479,0.0551,1.48417132216015,3,0.05,0.136363636363636,0.0724545454545455
10000,100,1,1,0.75,0.0471,0.0558,1.46511627906977,3,0.05,0.136363636363636,0.0715909090909091
10000,100,1,1,0.76,0.0442,0.0509,1.44609665427509,3,0.05,0.136363636363636,0.0707272727272727
10000,100,1,1,0.77,0.0406,0.0474,1.42711234911792,3,0.05,0.136363636363636,0.0698636363636364
10000,100,1,1,0.78,0.0432,0.0513,1.40816326530612,3,0.05,0.136363636363636,0.069
10000,100,1,1,0.79,0.0368,0.0432,1.38924930491196,3,0.05,0.136363636363636,0.0681363636363636
10000,100,1,1,0.8,0.0377,0.0435,1.37037037037037,3,0.05,0.136363636363636,0.0672727272727273
10000,100,1,1,0.81,0.0359,0.0429,1.35152636447734,3,0.05,0.136363636363636,0.0664090909090909
10000,100,1,1,0.82,0.0327,0.0371,1.33271719038817,3,0.05,0.136363636363636,0.0655454545454546
10000,100,1,1,0.83,0.0312,0.0355,1.31394275161588,3,0.05,0.136363636363636,0.0646818181818182
10000,100,1,1,0.84,0.0313,0.0354,1.29520295202952,3,0.05,0.136363636363636,0.0638181818181818
10000,100,1,1,0.85,0.0293,0.0344,1.27649769585253,3,0.05,0.136363636363636,0.0629545454545455
10000,100,1,1,0.86,0.0263,0.0316,1.25782688766114,3,0.05,0.136363636363636,0.0620909090909091
10000,100,1,1,0.87,0.0264,0.0296,1.2391904323827,3,0.05,0.136363636363636,0.0612272727272727
10000,100,1,1,0.88,0.0234,0.0274,1.22058823529412,3,0.05,0.136363636363636,0.0603636363636364
10000,100,1,1,0.89,0.0259,0.0296,1.2020202020202,3,0.05,0.136363636363636,0.0595
10000,100,1,1,0.9,0.0229,0.0256,1.18348623853211,3,0.05,0.136363636363636,0.0586363636363636
10000,100,1,1,0.91,0.0233,0.0269,1.16498625114574,3,0.05,0.136363636363636,0.0577727272727273
10000,100,1,1,0.92,0.0216,0.0241,1.14652014652015,3,0.05,0.136363636363636,0.0569090909090909
10000,100,1,1,0.93,0.0186,0.0218,1.12808783165599,3,0.05,0.136363636363636,0.0560454545454545
10000,100,1,1,0.94,0.0227,0.0248,1.10968921389397,3,0.05,0.136363636363636,0.0551818181818182
10000,100,1,1,0.95,0.021,0.0234,1.09132420091324,3,0.05,0.136363636363636,0.0543181818181818
10000,100,1,1,0.96,0.0204,0.0239,1.07299270072993,3,0.05,0.136363636363636,0.0534545454545455
10000,100,1,1,0.97,0.0178,0.02,1.05469462169553,3,0.05,0.136363636363636,0.0525909090909091
10000,100,1,1,0.98,0.0179,0.019,1.03642987249545,3,0.05,0.136363636363636,0.0517272727272727
10000,100,1,1,0.99,0.0183,0.0202,1.01819836214741,3,0.05,0.136363636363636,0.0508636363636364
10000,100,1,1,1,0.0188,0.0205,1,3,0.05,0.136363636363636,0.05
10000,100,1,1,0,0.7539,0.7613,3,3,0.1,0.25,0.25
10000,100,1,1,0.01,0.7444,0.7542,2.97604790419162,3,0.1,0.25,0.2485
10000,100,1,1,0.02,0.7355,0.7468,2.95219123505976,3,0.1,0.25,0.247
10000,100,1,1,0.03,0.7348,0.7465,2.92842942345924,3,0.1,0.25,0.2455
10000,100,1,1,0.04,0.7245,0.736,2.9047619047619,3,0.1,0.25,0.244
10000,100,1,1,0.05,0.6993,0.7112,2.88118811881188,3,0.1,0.25,0.2425
10000,100,1,1,0.06,0.7021,0.7134,2.85770750988142,3,0.1,0.25,0.241
10000,100,1,1,0.07,0.6901,0.7033,2.83431952662722,3,0.1,0.25,0.2395
10000,100,1,1,0.08,0.6812,0.6929,2.81102362204724,3,0.1,0.25,0.238
10000,100,1,1,0.09,0.6842,0.6967,2.78781925343811,3,0.1,0.25,0.2365
10000,100,1,1,0.1,0.6659,0.6801,2.76470588235294,3,0.1,0.25,0.235
10000,100,1,1,0.11,0.6516,0.6668,2.74168297455969,3,0.1,0.25,0.2335
10000,100,1,1,0.12,0.6491,0.6627,2.71875,3,0.1,0.25,0.232
10000,100,1,1,0.13,0.6389,0.6523,2.69590643274854,3,0.1,0.25,0.2305
10000,100,1,1,0.14,0.6228,0.6374,2.67315175097276,3,0.1,0.25,0.229
10000,100,1,1,0.15,0.6191,0.6348,2.6504854368932,3,0.1,0.25,0.2275
10000,100,1,1,0.16,0.6099,0.6243,2.62790697674419,3,0.1,0.25,0.226
10000,100,1,1,0.17,0.5939,0.6108,2.60541586073501,3,0.1,0.25,0.2245
10000,100,1,1,0.18,0.5874,0.6029,2.58301158301158,3,0.1,0.25,0.223
10000,100,1,1,0.19,0.5768,0.5914,2.5606936416185,3,0.1,0.25,0.2215
10000,100,1,1,0.2,0.5645,0.5814,2.53846153846154,3,0.1,0.25,0.22
10000,100,1,1,0.21,0.5554,0.5713,2.51631477927063,3,0.1,0.25,0.2185
10000,100,1,1,0.22,0.547,0.564,2.49425287356322,3,0.1,0.25,0.217
10000,100,1,1,0.23,0.5403,0.5574,2.47227533460803,3,0.1,0.25,0.2155
10000,100,1,1,0.24,0.5236,0.5433,2.45038167938931,3,0.1,0.25,0.214
10000,100,1,1,0.25,0.5127,0.5309,2.42857142857143,3,0.1,0.25,0.2125
10000,100,1,1,0.26,0.5033,0.5226,2.40684410646388,3,0.1,0.25,0.211
10000,100,1,1,0.27,0.491,0.5096,2.38519924098672,3,0.1,0.25,0.2095
10000,100,1,1,0.28,0.4758,0.4955,2.36363636363636,3,0.1,0.25,0.208
10000,100,1,1,0.29,0.474,0.4933,2.3421550094518,3,0.1,0.25,0.2065
10000,100,1,1,0.3,0.4633,0.4823,2.32075471698113,3,0.1,0.25,0.205
