sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0.47,0.0868,0.0812809389942516,0.0923190610057484,1.11024087414628,1.53899186256781,0.557213930348259,0.632004658168884,0.582839181158276,CTLA4
10000,201,305,1,1,0.48,0.0858,0.0803098193723056,0.0912901806276944,1.10547612890073,1.53899186256781,0.557213930348259,0.632004658168884,0.581793107179326,CTLA4
10000,201,305,1,1,0.49,0.0809,0.0755546268913272,0.0862453731086728,1.10073516059374,1.53899186256781,0.557213930348259,0.632004658168884,0.580747033200377,CTLA4
10000,201,305,1,1,0.5,0.0785,0.0732276421574318,0.0837723578425683,1.09601779169146,1.53899186256781,0.557213930348259,0.632004658168884,0.579700959221428,CTLA4
10000,201,305,1,1,0.51,0.076,0.0708052438921654,0.0811947561078346,1.09132384642309,1.53899186256781,0.557213930348259,0.632004658168884,0.578654885242479,CTLA4
10000,201,305,1,1,0.52,0.0749,0.0697399057999317,0.0800600942000683,1.08665315075904,1.53899186256781,0.557213930348259,0.632004658168884,0.57760881126353,CTLA4
10000,201,305,1,1,0.53,0.0742,0.0690621322468144,0.0793378677531856,1.08200553238944,1.53899186256781,0.557213930348259,0.632004658168884,0.576562737284581,CTLA4
10000,201,305,1,1,0.54,0.0699,0.064901660045295,0.074898339954705,1.07738082070296,1.53899186256781,0.557213930348259,0.632004658168884,0.575516663305632,CTLA4
10000,201,305,1,1,0.55,0.0707,0.0656753009392856,0.0757246990607144,1.0727788467659,1.53899186256781,0.557213930348259,0.632004658168884,0.574470589326683,CTLA4
10000,201,305,1,1,0.56,0.0637,0.0589126011791119,0.0684873988208881,1.06819944330165,1.53899186256781,0.557213930348259,0.632004658168884,0.573424515347734,CTLA4
10000,201,305,1,1,0.57,0.0672,0.062292036933946,0.072107963066054,1.06364244467038,1.53899186256781,0.557213930348259,0.632004658168884,0.572378441368785,CTLA4
10000,201,305,1,1,0.58,0.0603,0.0556336678344617,0.0649663321655383,1.05910768684915,1.53899186256781,0.557213930348259,0.632004658168884,0.571332367389835,CTLA4
