sim,sample_size,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1
10000,100,0.8,0.8,0.79,0.0756,0.0704178110159748,0.0807821889840252,1.9771878888428,5,0.25,0.625,0.39725
10000,100,0.8,0.8,0.8,0.0799,0.0745848774108211,0.085215122589179,1.95867768595041,5,0.25,0.625,0.395
10000,100,0.8,0.8,0.81,0.0704,0.0653851636206288,0.0754148363793712,1.94030465212021,5,0.25,0.625,0.39275
10000,100,0.8,0.8,0.82,0.0654,0.0605535454627774,0.0702464545372227,1.92206726825267,5,0.25,0.625,0.3905
10000,100,0.8,0.8,0.83,0.0609,0.0562120070789108,0.0655879929210893,1.90396403759706,5,0.25,0.625,0.38825
10000,100,0.8,0.8,0.84,0.0594,0.0547664047995991,0.0640335952004009,1.88599348534202,5,0.25,0.625,0.386
10000,100,0.8,0.8,0.85,0.0582,0.0536105228070036,0.0627894771929964,1.86815415821501,5,0.25,0.625,0.38375
10000,100,0.8,0.8,0.86,0.0495,0.0452479237810448,0.0537520762189553,1.85044462409054,5,0.25,0.625,0.3815
10000,100,0.8,0.8,0.87,0.0475,0.0433303300707345,0.0516696699292655,1.83286347160693,5,0.25,0.625,0.37925
10000,100,0.8,0.8,0.88,0.0519,0.047551563496316,0.056248436503684,1.81540930979133,5,0.25,0.625,0.377
10000,100,0.8,0.8,0.89,0.048,0.0438095421801178,0.0521904578198822,1.79808076769292,5,0.25,0.625,0.37475
10000,100,0.8,0.8,0.9,0.0434,0.0394057758456914,0.0473942241543086,1.7808764940239,5,0.25,0.625,0.3725
10000,100,0.8,0.8,0.91,0.041,0.0371129188038904,0.0448870811961096,1.76379515680826,5,0.25,0.625,0.37025
10000,100,0.8,0.8,0.92,0.0413,0.0373993339522488,0.0452006660477512,1.74683544303798,5,0.25,0.625,0.368
10000,100,0.8,0.8,0.93,0.0438,0.0397882505147329,0.0478117494852671,1.72999605833662,5,0.25,0.625,0.36575
10000,100,0.8,0.8,0.94,0.0397,0.035872448010245,0.043527551989755,1.71327572663001,5,0.25,0.625,0.3635
10000,100,0.8,0.8,0.95,0.0366,0.0329189963819115,0.0402810036180885,1.69667318982387,5,0.25,0.625,0.36125
10000,100,0.8,0.8,0.96,0.0383,0.0345378026287252,0.0420621973712748,1.6801872074883,5,0.25,0.625,0.359
10000,100,0.8,0.8,0.97,0.0331,0.0295930695123225,0.0366069304876775,1.66381655654878,5,0.25,0.625,0.35675
10000,100,0.8,0.8,0.98,0.034,0.0304473665356489,0.0375526334643511,1.64756003098373,5,0.25,0.625,0.3545
10000,100,0.8,0.8,0.99,0.0338,0.0302574642038282,0.0373425357961718,1.63141644152837,5,0.25,0.625,0.35225
10000,100,0.8,0.8,1,0.0369,0.0332045166054419,0.0405954833945581,1.61538461538462,5,0.25,0.625,0.35
10000,100,0.8,0.9,0,0.9619,0.958147248295909,0.965652751704091,3.48648648648649,5,0.25,0.625,0.5375
10000,100,0.8,0.9,0.01,0.955,0.95093621873951,0.95906378126049,3.44987906476754,5,0.25,0.625,0.534875
10000,100,0.8,0.9,0.02,0.9521,0.947913689664267,0.956286310335733,3.41368252271513,5,0.25,0.625,0.53225
10000,100,0.8,0.9,0.03,0.9487,0.944375404286827,0.953024595713173,3.37788998139782,5,0.25,0.625,0.529625
10000,100,0.8,0.9,0.04,0.9429,0.938351447072024,0.947448552927976,3.34249471458774,5,0.25,0.625,0.527
10000,100,0.8,0.9,0.05,0.9392,0.934515608198438,0.943884391801562,3.30749014454665,5,0.25,0.625,0.524375
10000,100,0.8,0.9,0.06,0.9366,0.931823122697139,0.941376877302861,3.27286983795086,5,0.25,0.625,0.52175
10000,100,0.8,0.9,0.07,0.9312,0.926238213382786,0.936161786617214,3.23862750194957,5,0.25,0.625,0.519125
10000,100,0.8,0.9,0.08,0.9239,0.918702108706942,0.929097891293058,3.2047569803516,5,0.25,0.625,0.5165
10000,100,0.8,0.9,0.09,0.9217,0.916433791431053,0.926966208568946,3.17125224993572,5,0.25,0.625,0.513875
10000,100,0.8,0.9,0.1,0.9132,0.907680938994252,0.918719061005748,3.1381074168798,5,0.25,0.625,0.51125
10000,100,0.8,0.9,0.11,0.9077,0.9020259337946,0.9133740662054,3.1053167133045,5,0.25,0.625,0.508625
10000,100,0.8,0.9,0.12,0.8997,0.893811269116812,0.905588730883189,3.07287449392713,5,0.25,0.625,0.506
10000,100,0.8,0.9,0.13,0.8909,0.884788480027271,0.897011519972729,3.04077523282155,5,0.25,0.625,0.503375
10000,100,0.8,0.9,0.14,0.8883,0.882125116073995,0.894474883926005,3.00901352028042,5,0.25,0.625,0.50075
10000,100,0.8,0.9,0.15,0.8805,0.874141260793951,0.886858739206049,2.97758405977584,5,0.25,0.625,0.498125
10000,100,0.8,0.9,0.16,0.8771,0.870663898602349,0.883536101397651,2.94648166501487,5,0.25,0.625,0.4955
10000,100,0.8,0.9,0.17,0.8549,0.847995793928515,0.861804206071485,2.91570125708652,5,0.25,0.625,0.492875
10000,100,0.8,0.9,0.18,0.851,0.84401960024054,0.85798039975946,2.88523786169691,5,0.25,0.625,0.49025
10000,100,0.8,0.9,0.19,0.8444,0.837294391272134,0.851505608727866,2.85508660648939,5,0.25,0.625,0.487625
10000,100,0.8,0.9,0.2,0.8366,0.829352181038427,0.843847818961573,2.8252427184466,5,0.25,0.625,0.485
10000,100,0.8,0.9,0.21,0.8296,0.822229591694686,0.836970408305314,2.79570152137165,5,0.25,0.625,0.482375
10000,100,0.8,0.9,0.22,0.8183,0.810741143164884,0.825858856835117,2.76645843344546,5,0.25,0.625,0.47975
10000,100,0.8,0.9,0.23,0.8025,0.7946957989124,0.8103042010876,2.73750896485776,5,0.25,0.625,0.477125
10000,100,0.8,0.9,0.24,0.7991,0.791245601816072,0.806954398183928,2.70884871550904,5,0.25,0.625,0.4745
10000,100,0.8,0.9,0.25,0.7751,0.766915427939024,0.783284572060976,2.68047337278107,5,0.25,0.625,0.471875
10000,100,0.8,0.9,0.26,0.7647,0.756384681485741,0.77301531851426,2.65237870937353,5,0.25,0.625,0.46925
10000,100,0.8,0.9,0.27,0.7636,0.755271264377068,0.771928735622932,2.62456058120459,5,0.25,0.625,0.466625
10000,100,0.8,0.9,0.28,0.7543,0.745860882907883,0.762739117092117,2.59701492537313,5,0.25,0.625,0.464
10000,100,0.8,0.9,0.29,0.7387,0.730087561474129,0.747312438525871,2.56973775818055,5,0.25,0.625,0.461375
10000,100,0.8,0.9,0.3,0.7253,0.716549949710372,0.734050050289628,2.54272517321016,5,0.25,0.625,0.45875
10000,100,0.8,0.9,0.31,0.7067,0.697775252090399,0.715624747909601,2.51597333946219,5,0.25,0.625,0.456125
10000,100,0.8,0.9,0.32,0.6995,0.690512508798785,0.708487491201215,2.48947849954254,5,0.25,0.625,0.4535
10000,100,0.8,0.9,0.33,0.689,0.679925719787301,0.698074280212699,2.46323696790348,5,0.25,0.625,0.450875
10000,100,0.8,0.9,0.34,0.6628,0.653532610562459,0.672067389437541,2.43724512913457,5,0.25,0.625,0.44825
10000,100,0.8,0.9,0.35,0.6572,0.647895531613399,0.666504468386601,2.41149943630214,5,0.25,0.625,0.445625
10000,100,0.8,0.9,0.36,0.6499,0.640549352086753,0.659250647913248,2.38599640933573,5,0.25,0.625,0.443
10000,100,0.8,0.9,0.37,0.6307,0.621239296105313,0.640160703894687,2.36073263345991,5,0.25,0.625,0.440375
10000,100,0.8,0.9,0.38,0.6142,0.604657582841845,0.623742417158155,2.33570475767008,5,0.25,0.625,0.43775
10000,100,0.8,0.9,0.39,0.5975,0.587886660546939,0.607113339453061,2.31090949325072,5,0.25,0.625,0.435125
10000,100,0.8,0.9,0.4,0.5868,0.577147327097035,0.596452672902966,2.2863436123348,5,0.25,0.625,0.4325
10000,100,0.8,0.9,0.41,0.5727,0.563002664558422,0.582397335441578,2.26200394650296,5,0.25,0.625,0.429875
10000,100,0.8,0.9,0.42,0.5535,0.543754773783991,0.563245226216009,2.23788738542121,5,0.25,0.625,0.42725
10000,100,0.8,0.9,0.43,0.5364,0.526624511281097,0.546175488718903,2.21399087551597,5,0.25,0.625,0.424625
10000,100,0.8,0.9,0.44,0.5361,0.526324083791006,0.545875916208994,2.19031141868512,5,0.25,0.625,0.422
10000,100,0.8,0.9,0.45,0.5041,0.494298833126669,0.513901166873331,2.16684607104413,5,0.25,0.625,0.419375
10000,100,0.8,0.9,0.46,0.5055,0.495699096603292,0.515300903396708,2.14359194170596,5,0.25,0.625,0.41675
10000,100,0.8,0.9,0.47,0.4798,0.470006505666506,0.489593494333495,2.12054619159377,5,0.25,0.625,0.414125
10000,100,0.8,0.9,0.48,0.4608,0.451028672768308,0.470571327231692,2.09770603228547,5,0.25,0.625,0.4115
10000,100,0.8,0.9,0.49,0.453,0.443241902687248,0.462758097312752,2.07506872488898,5,0.25,0.625,0.408875
10000,100,0.8,0.9,0.5,0.4386,0.428872686823763,0.448327313176237,2.05263157894737,5,0.25,0.625,0.40625
10000,100,0.8,0.9,0.51,0.4307,0.420993103288898,0.440406896711102,2.03039195137288,5,0.25,0.625,0.403625
10000,100,0.8,0.9,0.52,0.4029,0.393285104910249,0.412514895089752,2.00834724540902,5,0.25,0.625,0.401
10000,100,0.8,0.9,0.53,0.3932,0.383624710324955,0.402775289675045,1.98649490961978,5,0.25,0.625,0.398375
10000,100,0.8,0.9,0.54,0.3781,0.36859425854718,0.38760574145282,1.96483243690525,5,0.25,0.625,0.39575
10000,100,0.8,0.9,0.55,0.368,0.358546234420457,0.377453765579543,1.94335736354274,5,0.25,0.625,0.393125
10000,100,0.8,0.9,0.56,0.3563,0.346912022363596,0.365687977636404,1.92206726825267,5,0.25,0.625,0.3905
10000,100,0.8,0.9,0.57,0.3377,0.328429241063075,0.346970758936925,1.90095977128854,5,0.25,0.625,0.387875
10000,100,0.8,0.9,0.58,0.3233,0.314130971530937,0.332469028469063,1.88003253355022,5,0.25,0.625,0.38525
10000,100,0.8,0.9,0.59,0.3131,0.304009020621636,0.322190979378364,1.85928325571978,5,0.25,0.625,0.382625
10000,100,0.8,0.9,0.6,0.2953,0.286357555779616,0.304242444220384,1.83870967741936,5,0.25,0.625,0.38
10000,100,0.8,0.9,0.61,0.2846,0.275754664780244,0.293445335219756,1.81830957639028,5,0.25,0.625,0.377375
10000,100,0.8,0.9,0.62,0.2739,0.265157882988506,0.282642117011494,1.79808076769292,5,0.25,0.625,0.37475
10000,100,0.8,0.9,0.63,0.2553,0.24675251268487,0.263847487315131,1.77802110292654,5,0.25,0.625,0.372125
10000,100,0.8,0.9,0.64,0.2425,0.23409825355898,0.25090174644102,1.75812846946868,5,0.25,0.625,0.3695
10000,100,0.8,0.9,0.65,0.2332,0.224910512026975,0.241489487973025,1.73840078973347,5,0.25,0.625,0.366875
10000,100,0.8,0.9,0.66,0.2198,0.211682184105157,0.227917815894844,1.71883602044829,5,0.25,0.625,0.36425
10000,100,0.8,0.9,0.67,0.2127,0.204678118332818,0.220721881667182,1.69943215194831,5,0.25,0.625,0.361625
10000,100,0.8,0.9,0.68,0.1993,0.191469113232437,0.207130886767563,1.6801872074883,5,0.25,0.625,0.359
10000,100,0.8,0.9,0.69,0.1917,0.183983511265767,0.199416488734233,1.66109924257137,5,0.25,0.625,0.356375
10000,100,0.8,0.9,0.7,0.1838,0.176207349146819,0.191392650853181,1.642166344294,5,0.25,0.625,0.35375
10000,100,0.8,0.9,0.71,0.17,0.162636472933637,0.177363527066363,1.62338663070699,5,0.25,0.625,0.351125
10000,100,0.8,0.9,0.72,0.1629,0.155661116392558,0.170138883607442,1.60475825019187,5,0.25,0.625,0.3485
10000,100,0.8,0.9,0.73,0.1511,0.144079260169006,0.158120739830994,1.58627938085228,5,0.25,0.625,0.345875
10000,100,0.8,0.9,0.74,0.1432,0.136333528551908,0.150066471448092,1.56794822992006,5,0.25,0.625,0.34325
10000,100,0.8,0.9,0.75,0.1352,0.128497010070614,0.141902989929386,1.54976303317536,5,0.25,0.625,0.340625
10000,100,0.8,0.9,0.76,0.1311,0.124483799998011,0.137716200001989,1.53172205438067,5,0.25,0.625,0.338
10000,100,0.8,0.9,0.77,0.1239,0.11744145226203,0.13035854773797,1.51382358472823,5,0.25,0.625,0.335375
10000,100,0.8,0.9,0.78,0.106,0.0999654613575284,0.112034538642472,1.49606594230049,5,0.25,0.625,0.33275
10000,100,0.8,0.9,0.79,0.1061,0.100062953218826,0.112137046781174,1.4784474715432,5,0.25,0.625,0.330125
10000,100,0.8,0.9,0.8,0.101,0.0950930551868635,0.106906944813137,1.46096654275093,5,0.25,0.625,0.3275
10000,100,0.8,0.9,0.81,0.0917,0.0860425372185133,0.0973574627814867,1.44362155156453,5,0.25,0.625,0.324875
10000,100,0.8,0.9,0.82,0.0835,0.0780770967903957,0.0889229032096043,1.42641091848027,5,0.25,0.625,0.32225
10000,100,0.8,0.9,0.83,0.0821,0.0767186449830657,0.0874813550169344,1.40933308837038,5,0.25,0.625,0.319625
10000,100,0.8,0.9,0.84,0.0743,0.0691589489145089,0.0794410510854911,1.39238653001464,5,0.25,0.625,0.317
10000,100,0.8,0.9,0.85,0.0718,0.0667393606886528,0.0768606393113473,1.37556973564266,5,0.25,0.625,0.314375
10000,100,0.8,0.9,0.86,0.0643,0.0594916487890555,0.0691083512109445,1.35888122048674,5,0.25,0.625,0.31175
10000,100,0.8,0.9,0.87,0.0638,0.0590091007454725,0.0685908992545275,1.34231952234485,5,0.25,0.625,0.309125
10000,100,0.8,0.9,0.88,0.0586,0.053995756479164,0.063204243520836,1.32588320115357,5,0.25,0.625,0.3065
10000,100,0.8,0.9,0.89,0.056,0.0514928460619777,0.0605071539380223,1.30957083857066,5,0.25,0.625,0.303875
10000,100,0.8,0.9,0.9,0.0519,0.047551563496316,0.056248436503684,1.29338103756708,5,0.25,0.625,0.30125
10000,100,0.8,0.9,0.91,0.0472,0.0430428637934574,0.0513571362065426,1.27731242202816,5,0.25,0.625,0.298625
